ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
1	😀	U+1F600	1F600	128512	&#x1F600;	&#128512;	%F0%9F%98%80	\ud83d\ude00	:grinning:	grinning face
2	😁	U+1F601	1F601	128513	&#x1F601;	&#128513;	%F0%9F%98%81	\ud83d\ude01	:grin:	beaming face with smiling eyes
3	😂	U+1F602	1F602	128514	&#x1F602;	&#128514;	%F0%9F%98%82	\ud83d\ude02	:joy:	face with tears of joy
4	😃	U+1F603	1F603	128515	&#x1F603;	&#128515;	%F0%9F%98%83	\ud83d\ude03	:smiley:	grinning face with big eyes
5	😄	U+1F604	1F604	128516	&#x1F604;	&#128516;	%F0%9F%98%84	\ud83d\ude04	:smile:	grinning face with smiling eyes
6	😅	U+1F605	1F605	128517	&#x1F605;	&#128517;	%F0%9F%98%85	\ud83d\ude05	:sweat_smile:	grinning face with sweat
7	😆	U+1F606	1F606	128518	&#x1F606;	&#128518;	%F0%9F%98%86	\ud83d\ude06	:laughing:	grinning squinting face
8	😇	U+1F607	1F607	128519	&#x1F607;	&#128519;	%F0%9F%98%87	\ud83d\ude07	:innocent:	smiling face with halo
9	😉	U+1F609	1F609	128521	&#x1F609;	&#128521;	%F0%9F%98%89	\ud83d\ude09	:wink:	winking face
10	😊	U+1F60A	1F60A	128522	&#x1F60A;	&#128522;	%F0%9F%98%8A	\ud83d\ude0a	:blush:	smiling face with smiling eyes
11	🙂	U+1F642	1F642	128578	&#x1F642;	&#128578;	%F0%9F%99%82	\ud83d\ude42	:slightly_smiling_face:	slightly smiling face
12	🙃	U+1F643	1F643	128579	&#x1F643;	&#128579;	%F0%9F%99%83	\ud83d\ude43	:upside_down_face:	upside-down face
13	🤣	U+1F923	1F923	129315	&#x1F923;	&#129315;	%F0%9F%A4%A3	\ud83e\udd23	:rofl:	rolling on the floor laughing
14	🫠	U+1FAE0	1FAE0	129760	&#x1FAE0;	&#129760;	%F0%9F%AB%A0	\ud83e\udee0		melting face
15	☺️	U+263A U+FE0F	263A FE0F	9786 65039	&#x263A;&#xFE0F;	&#9786;&#65039;	%E2%98%BA%EF%B8%8F	\u263a\ufe0f		smiling face
16	😍	U+1F60D	1F60D	128525	&#x1F60D;	&#128525;	%F0%9F%98%8D	\ud83d\ude0d	:heart_eyes:	smiling face with heart-eyes
17	😗	U+1F617	1F617	128535	&#x1F617;	&#128535;	%F0%9F%98%97	\ud83d\ude17	:kissing:	kissing face
18	😘	U+1F618	1F618	128536	&#x1F618;	&#128536;	%F0%9F%98%98	\ud83d\ude18	:kissing_heart:	face blowing a kiss
19	😙	U+1F619	1F619	128537	&#x1F619;	&#128537;	%F0%9F%98%99	\ud83d\ude19	:kissing_smiling_eyes:	kissing face with smiling eyes
20	😚	U+1F61A	1F61A	128538	&#x1F61A;	&#128538;	%F0%9F%98%9A	\ud83d\ude1a	:kissing_closed_eyes:	kissing face with closed eyes
21	🤩	U+1F929	1F929	129321	&#x1F929;	&#129321;	%F0%9F%A4%A9	\ud83e\udd29	:star_struck:	star-struck
22	🥰	U+1F970	1F970	129392	&#x1F970;	&#129392;	%F0%9F%A5%B0	\ud83e\udd70	:smiling_face_with_three_hearts:	smiling face with hearts
23	🥲	U+1F972	1F972	129394	&#x1F972;	&#129394;	%F0%9F%A5%B2	\ud83e\udd72	:smiling_face_with_tear:	smiling face with tear
24	😋	U+1F60B	1F60B	128523	&#x1F60B;	&#128523;	%F0%9F%98%8B	\ud83d\ude0b	:yum:	face savoring food
25	😛	U+1F61B	1F61B	128539	&#x1F61B;	&#128539;	%F0%9F%98%9B	\ud83d\ude1b	:stuck_out_tongue:	face with tongue
26	😜	U+1F61C	1F61C	128540	&#x1F61C;	&#128540;	%F0%9F%98%9C	\ud83d\ude1c	:stuck_out_tongue_winking_eye:	winking face with tongue
27	😝	U+1F61D	1F61D	128541	&#x1F61D;	&#128541;	%F0%9F%98%9D	\ud83d\ude1d	:stuck_out_tongue_closed_eyes:	squinting face with tongue
28	🤑	U+1F911	1F911	129297	&#x1F911;	&#129297;	%F0%9F%A4%91	\ud83e\udd11	:money_mouth_face:	money-mouth face
29	🤪	U+1F92A	1F92A	129322	&#x1F92A;	&#129322;	%F0%9F%A4%AA	\ud83e\udd2a	:zany_face:	zany face
30	🤔	U+1F914	1F914	129300	&#x1F914;	&#129300;	%F0%9F%A4%94	\ud83e\udd14	:thinking:	thinking face
31	🤗	U+1F917	1F917	129303	&#x1F917;	&#129303;	%F0%9F%A4%97	\ud83e\udd17	:hugs:	smiling face with open hands
32	🤫	U+1F92B	1F92B	129323	&#x1F92B;	&#129323;	%F0%9F%A4%AB	\ud83e\udd2b	:shushing_face:	shushing face
33	🤭	U+1F92D	1F92D	129325	&#x1F92D;	&#129325;	%F0%9F%A4%AD	\ud83e\udd2d	:hand_over_mouth:	face with hand over mouth
34	🫡	U+1FAE1	1FAE1	129761	&#x1FAE1;	&#129761;	%F0%9F%AB%A1	\ud83e\udee1		saluting face
35	🫢	U+1FAE2	1FAE2	129762	&#x1FAE2;	&#129762;	%F0%9F%AB%A2	\ud83e\udee2		face with open eyes and hand over mouth
36	🫣	U+1FAE3	1FAE3	129763	&#x1FAE3;	&#129763;	%F0%9F%AB%A3	\ud83e\udee3		face with peeking eye
37	😏	U+1F60F	1F60F	128527	&#x1F60F;	&#128527;	%F0%9F%98%8F	\ud83d\ude0f	:smirk:	smirking face
38	😐	U+1F610	1F610	128528	&#x1F610;	&#128528;	%F0%9F%98%90	\ud83d\ude10	:neutral_face:	neutral face
39	😑	U+1F611	1F611	128529	&#x1F611;	&#128529;	%F0%9F%98%91	\ud83d\ude11	:expressionless:	expressionless face
40	😒	U+1F612	1F612	128530	&#x1F612;	&#128530;	%F0%9F%98%92	\ud83d\ude12	:unamused:	unamused face
41	😬	U+1F62C	1F62C	128556	&#x1F62C;	&#128556;	%F0%9F%98%AC	\ud83d\ude2c	:grimacing:	grimacing face
42	😮‍💨	U+1F62E U+200D U+1F4A8	1F62E 200D 1F4A8	128558 8205 128168	&#x1F62E;&#x200D;&#x1F4A8;	&#128558;&#8205;&#128168;	%F0%9F%98%AE%E2%80%8D%F0%9F%92%A8	\ud83d\ude2e\u200d\ud83d\udca8	:face_exhaling:	face exhaling
43	😶	U+1F636	1F636	128566	&#x1F636;	&#128566;	%F0%9F%98%B6	\ud83d\ude36	:no_mouth:	face without mouth
44	😶‍🌫️	U+1F636 U+200D U+1F32B U+FE0F	1F636 200D 1F32B FE0F	128566 8205 127787 65039	&#x1F636;&#x200D;&#x1F32B;&#xFE0F;	&#128566;&#8205;&#127787;&#65039;	%F0%9F%98%B6%E2%80%8D%F0%9F%8C%AB%EF%B8%8F	\ud83d\ude36\u200d\ud83c\udf2b\ufe0f		face in clouds
45	🙂‍↔️	U+1F642 U+200D U+2194 U+FE0F	1F642 200D 2194 FE0F	128578 8205 8596 65039	&#x1F642;&#x200D;&#x2194;&#xFE0F;	&#128578;&#8205;&#8596;&#65039;	%F0%9F%99%82%E2%80%8D%E2%86%94%EF%B8%8F	\ud83d\ude42\u200d\u2194\ufe0f		head shaking horizontally
46	🙂‍↕️	U+1F642 U+200D U+2195 U+FE0F	1F642 200D 2195 FE0F	128578 8205 8597 65039	&#x1F642;&#x200D;&#x2195;&#xFE0F;	&#128578;&#8205;&#8597;&#65039;	%F0%9F%99%82%E2%80%8D%E2%86%95%EF%B8%8F	\ud83d\ude42\u200d\u2195\ufe0f		head shaking vertically
47	🙄	U+1F644	1F644	128580	&#x1F644;	&#128580;	%F0%9F%99%84	\ud83d\ude44	:roll_eyes:	face with rolling eyes
48	🤐	U+1F910	1F910	129296	&#x1F910;	&#129296;	%F0%9F%A4%90	\ud83e\udd10	:zipper_mouth_face:	zipper-mouth face
49	🤥	U+1F925	1F925	129317	&#x1F925;	&#129317;	%F0%9F%A4%A5	\ud83e\udd25	:lying_face:	lying face
50	🤨	U+1F928	1F928	129320	&#x1F928;	&#129320;	%F0%9F%A4%A8	\ud83e\udd28	:raised_eyebrow:	face with raised eyebrow
51	🫥	U+1FAE5	1FAE5	129765	&#x1FAE5;	&#129765;	%F0%9F%AB%A5	\ud83e\udee5		dotted line face
52	🫨	U+1FAE8	1FAE8	129768	&#x1FAE8;	&#129768;	%F0%9F%AB%A8	\ud83e\udee8		shaking face
53	😌	U+1F60C	1F60C	128524	&#x1F60C;	&#128524;	%F0%9F%98%8C	\ud83d\ude0c	:relieved:	relieved face
54	😔	U+1F614	1F614	128532	&#x1F614;	&#128532;	%F0%9F%98%94	\ud83d\ude14	:pensive:	pensive face
55	😪	U+1F62A	1F62A	128554	&#x1F62A;	&#128554;	%F0%9F%98%AA	\ud83d\ude2a	:sleepy:	sleepy face
56	😴	U+1F634	1F634	128564	&#x1F634;	&#128564;	%F0%9F%98%B4	\ud83d\ude34	:sleeping:	sleeping face
57	🤤	U+1F924	1F924	129316	&#x1F924;	&#129316;	%F0%9F%A4%A4	\ud83e\udd24	:drooling_face:	drooling face
58	🫩	U+1FAE9	1FAE9	129769	&#x1FAE9;	&#129769;	%F0%9F%AB%A9	\ud83e\udee9		face with bags under eyes
59	😵	U+1F635	1F635	128565	&#x1F635;	&#128565;	%F0%9F%98%B5	\ud83d\ude35	:dizzy_face:	face with crossed-out eyes
60	😵‍💫	U+1F635 U+200D U+1F4AB	1F635 200D 1F4AB	128565 8205 128171	&#x1F635;&#x200D;&#x1F4AB;	&#128565;&#8205;&#128171;	%F0%9F%98%B5%E2%80%8D%F0%9F%92%AB	\ud83d\ude35\u200d\ud83d\udcab	:face_with_spiral_eyes:	face with spiral eyes
61	😷	U+1F637	1F637	128567	&#x1F637;	&#128567;	%F0%9F%98%B7	\ud83d\ude37	:mask:	face with medical mask
62	🤒	U+1F912	1F912	129298	&#x1F912;	&#129298;	%F0%9F%A4%92	\ud83e\udd12	:face_with_thermometer:	face with thermometer
63	🤕	U+1F915	1F915	129301	&#x1F915;	&#129301;	%F0%9F%A4%95	\ud83e\udd15	:face_with_head_bandage:	face with head-bandage
64	🤢	U+1F922	1F922	129314	&#x1F922;	&#129314;	%F0%9F%A4%A2	\ud83e\udd22	:nauseated_face:	nauseated face
65	🤧	U+1F927	1F927	129319	&#x1F927;	&#129319;	%F0%9F%A4%A7	\ud83e\udd27	:sneezing_face:	sneezing face
66	🤮	U+1F92E	1F92E	129326	&#x1F92E;	&#129326;	%F0%9F%A4%AE	\ud83e\udd2e	:vomiting_face:	face vomiting
67	🤯	U+1F92F	1F92F	129327	&#x1F92F;	&#129327;	%F0%9F%A4%AF	\ud83e\udd2f	:exploding_head:	exploding head
68	🥴	U+1F974	1F974	129396	&#x1F974;	&#129396;	%F0%9F%A5%B4	\ud83e\udd74	:woozy_face:	woozy face
